CODPROD;DESCRICAO;EMBALAGEM
3421;B.VISTA-WAFER CHOCOLATE ;40X140GR
3422;B.VISTA-WAFER MORANGO;40X140GR
3355;NEUG.-BARRINHAS CHOC. PRETO E BRANCO ;20X22GR
3356;NEUG.-BARRINHAS CHOC. BRANCO ;20X22GR
3357;NEUG.-BARRINHAS CHOC. AO LEITE;20X22GR
3358;NEUG.-BARRINHAS CHOC. MEIO AMARGO;20X22GR
535;V.FERTIL-AZ.BALDE VERDE GRAUDA;2,0KG
758;PAN-MOEDAS DE CHOC. DISP.C/830GR R.1350;830GR
3944;DAFRUTA SUCO CONC.MARACUJA PET;12X500ML
1060;V.FERTIL-AZEITE OLIVA ARG.EXTRA VIRGEM ;VD 500ML
3346;FINI BALA GELATINA CARROS ;12X90GR
3347;FINI BALA GELATINA MICKEY;12X90GR
3348;FINI BALA GELATINA MINIE;12X90GR
1399;DAFRUTA SUCO CONC.ACEROLA ;12X500ML
1400;DAFRUTA SUCO CONC.PESSEGO ;12X500ML
284;GINA PALITO REF.191;96X100
282;GINA PALITO REF.193;54X200
519;V.FERTIL-AZEITONA PRETA ;VD 200GR
3945;DAFRUTA SUCO CONC.UVA PET;12X500ML
468;V.FERTIL-PICLES EM CONSERVA ;PT 120GR
529;V.FERTIL-PEPINO INTEIRO EM CONSERVA ;VD 300GR
9171;BENEVIA-OVO CREME BOB ESPONJA C/SURPRESA;8X18GR
572;GINA PALITO EMBALADO REF. 189;DS 2000X1
385;GINA PRENDEDOR ROUPA SM REF.1935;20X50X1
32;ALADDIN-GARRAFAO TERMICO R.1403 ;5LT
1393;DAFRUTA SUCO CONC.GOIABA ;12X500ML
1394;DAFRUTA SUCO CONC.MANGA  ;12X500ML
3382;EMPILHADEIRA ELETRICA JUNIOR PATOLADA;1UN
3458;SAPEKA FRALDA DESC.C/BAR. PEQ 10X1;PCT
3459;SAPEKA FRALDA DESC.C/BAR. MED 8X1;PCT
3474;V.FERTIL-AZ.VDE SACHE DOY PACK ;12X150GR
3475;V.FERTIL-AZ.VDE SACHE FATIADA DOY PACK;12X120GR
3476;V.FERTIL-AZ.VDE SACHE LIGHT DOY PACK ;12X150GR
3375;FINI TUBINHO PT CITRICO MORANGO ;1X200UN
3376;FINI TUBINHO PT DOCE MORANGO ;PT 1X40UN
3460;SAPEKA FRALDA DESC.C/BAR. GDE 7X1 ;PCT
341;TOSCANO-VINAGRE DE ALCOOL C/ALHO;12X750ML
3461;SAPEKA FRALDA DESC.C/BAR. EG 7X1;PCT
3462;SAPEKA FRALDA DESC.C/BAR. SEG 6X1;PCT
3463;SAPEKA FRALDA PCT ECON C/ BAR. P 30X1 ;PCT
3464;SAPEKA FRALDA PCT ECON C/ BAR. M 24X1 ;PCT
3465;SAPEKA FRALDA PCT ECON C/ BAR. G 20X1 ;PCT
3466;SAPEKA FRALDA PCT ECON C/ BAR. EG 20X1 ;PCT
464;FONTANA-SBTE INF AZUL 1 2 3 BABY;12X80GR
3467;SAPEKA FRALDA PCT ECON C/ BAR. SEG 16X1 ;PCT
733;PAN-CHOC.GRANULADO P/COBERT R.3703;20X80GR
